1;как;как;SCONJ;_;_;_;_;_;@d1990m-words#@d1990m#459.975#460.211
2;вы;вы;PRON;_;Case=Nom|Number=Plur|Person=2;_;_;_;@d1990m-words#@d1990m#460.211#460.447
3;придумываете;придумывать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#460.447#460.683
4;музыку;музыка;NOUN;_;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;_;_;_;@d1990m-words#@d1990m#460.683#460.919
5;?;?;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#460.919#461.159
6;как;как;SCONJ;_;_;_;_;_;@d1990m-words#@d1990m#488.101#488.329
7;у;у;ADP;_;_;_;_;_;@d1990m-words#@d1990m#488.329#488.557
8;вас;вы;PRON;_;Case=Gen|Number=Plur|Person=2;_;_;_;@d1990m-words#@d1990m#488.557#488.785
9;проходит;проходить;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#488.785#489.013
10;запись;запись;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@d1990m-words#@d1990m#489.013#489.241
11;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#489.241#489.469
12;сам;сам;DET;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#489.469#489.697
13;процесс;процесс;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#489.697#489.925
14;?;?;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#489.925#490.154
15;вы;вы;PRON;_;Case=Nom|Number=Plur|Person=2;_;_;_;@d1990m-words#@d1990m#530.719#531.041
16;очень;очень;ADV;_;_;_;_;_;@d1990m-words#@d1990m#531.041#531.363
17;много;много;ADV;_;Degree=Pos;_;_;_;@d1990m-words#@d1990m#531.363#531.685
18;потратили;потратить;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#531.685#532.007
19;времени;время;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#532.007#532.329
20;на;на;ADP;_;_;_;_;_;@d1990m-words#@d1990m#532.329#532.651
21;третий;третий;ADJ;_;Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#532.651#532.973
22;альбом;альбом;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#532.973#533.3
23;в;в;ADP;_;_;_;_;_;@d1990m-words#@d1990m#536.158#536.323
24;два;два;NUM;_;Animacy=Inan|Case=Acc|Gender=Masc;_;_;_;@d1990m-words#@d1990m#536.323#536.488
25;раза;раз;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#536.488#536.654
26;там;там;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#538.508#538.714
27;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#538.714#538.92
28;ааа;ааа;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#538.92#539.126
29;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#539.126#539.332
30;речь;речь;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@d1990m-words#@d1990m#539.332#539.538
31;шла;идти;VERB;_;Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#539.538#539.744
32;о;о;ADP;_;_;_;_;_;@d1990m-words#@d1990m#539.744#539.95
33;шестидесяти;шестьдесят;NUM;_;Case=Loc;_;_;_;@d1990m-words#@d1990m#539.95#540.156
34;часах;час;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur;_;_;_;@d1990m-words#@d1990m#540.156#540.362
35;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#540.362#540.568
36;и;и;CCONJ;_;_;_;_;_;@d1990m-words#@d1990m#540.568#540.774
37;о;о;ADP;_;_;_;_;_;@d1990m-words#@d1990m#540.774#540.98
38;ста;сто;NUM;_;Case=Gen;_;_;_;@d1990m-words#@d1990m#540.98#541.186
39;двадцати;двадцать;NUM;_;Case=Gen;_;_;_;@d1990m-words#@d1990m#541.186#541.392
40;часах;час;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur;_;_;_;@d1990m-words#@d1990m#541.392#541.6
41;а;а;CCONJ;_;_;_;_;_;@d1990m-words#@d1990m#543.718#543.932
42;как;как;SCONJ;_;_;_;_;_;@d1990m-words#@d1990m#543.932#544.146
43;думаешь;думать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#544.146#544.36
44;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#544.36#544.574
45;в;в;ADP;_;_;_;_;_;@d1990m-words#@d1990m#544.574#544.788
46;связи;связь;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;_;_;_;@d1990m-words#@d1990m#544.788#545.002
47;с;с;ADP;_;_;_;_;_;@d1990m-words#@d1990m#545.002#545.216
48;чем;что;PRON;_;Case=Ins;_;_;_;@d1990m-words#@d1990m#545.216#545.43
49;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#545.43#545.644
50;ааа;ааа;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#545.644#545.858
51;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#545.858#546.072
52;было;быть;AUX;_;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#546.072#546.286
53;потрачено;потратить;VERB;_;Aspect=Perf|Gender=Neut|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass;_;_;_;@d1990m-words#@d1990m#546.286#546.5
54;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#546.5#546.714
55;в;в;ADP;_;_;_;_;_;@d1990m-words#@d1990m#546.714#546.928
56;два;два;NUM;_;Animacy=Inan|Case=Acc|Gender=Masc;_;_;_;@d1990m-words#@d1990m#546.928#547.142
57;раза;раз;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#547.142#547.356
58;больше;много;ADV;_;Degree=Cmp;_;_;_;@d1990m-words#@d1990m#547.356#547.57
59;времени;время;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#547.57#547.784
60;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#547.784#547.998
61;вы;вы;PRON;_;Case=Nom|Number=Plur|Person=2;_;_;_;@d1990m-words#@d1990m#547.998#548.212
62;что-то;что-то;PRON;_;Case=Acc;_;_;_;@d1990m-words#@d1990m#548.212#548.426
63;там;там;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#548.426#548.64
64;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#548.64#548.854
65;ааа;ааа;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#548.854#549.068
66;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#549.068#549.282
67;придумывали;придумывать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#549.282#549.496
68;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#549.496#549.71
69;заморачивались;заморачиваться;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;_;_;_;@d1990m-words#@d1990m#549.71#549.924
70;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#549.924#550.138
71;над;над;ADP;_;_;_;_;_;@d1990m-words#@d1990m#550.138#550.352
72;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#550.352#550.566
73;эээ;эээ;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#550.566#550.78
74;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#550.78#550.994
75;какими-то;какой-то;DET;_;Case=Ins|Number=Plur;_;_;_;@d1990m-words#@d1990m#550.994#551.208
76;партиями;партия;NOUN;_;Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur;_;_;_;@d1990m-words#@d1990m#551.208#551.422
77;?;?;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#551.422#551.665
78;угу;угу;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#563.312#563.414
79;#усмешка#;#усмешка#;X;_;_;_;_;_;@d1990m-words#@d1990m#605.13#605.473
80;ммм;ммм;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#609.1#609.5
81;на;на;ADP;_;_;_;_;_;@d1990m-words#@d1990m#613.745#614.001
82;альбоме;альбом;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#614.001#614.257
83;есть;быть;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#614.257#614.513
84;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#614.513#614.769
85;эээ;эээ;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#614.769#615.028
86;пианино;пианино;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#615.677#616.084
87;определенная;определенный;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@d1990m-words#@d1990m#617.31#617.622
88;композиция;композиция;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@d1990m-words#@d1990m#617.622#617.934
89;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#617.934#618.246
90;в;в;ADP;_;_;_;_;_;@d1990m-words#@d1990m#618.246#618.558
91;которой;который;DET;_;Case=Loc|Gender=Fem|Number=Sing;_;_;_;@d1990m-words#@d1990m#618.558#618.87
92;есть;быть;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#618.87#619.182
93;только;только;PART;_;_;_;_;_;@d1990m-words#@d1990m#619.182#619.494
94;пианино;пианино;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#619.494#619.808
95;это;это;DET;_;Case=Nom|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#620.62#620.902
96;играет;играть;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#620.902#621.184
97;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#621.184#621.466
98;эээ;эээ;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#621.466#621.748
99;Петар;Петар;PROPN;_;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#621.748#622.033
100;получается;получаться;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@d1990m-words#@d1990m#623.711#624.006
101;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#624.006#624.301
102;у;у;ADP;_;_;_;_;_;@d1990m-words#@d1990m#624.301#624.596
103;него;он;PRON;_;Case=Gen|Gender=Masc|Number=Sing|Person=3;_;_;_;@d1990m-words#@d1990m#624.596#624.891
104;есть;быть;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#624.891#625.186
105;музыкальное;музыкальный;ADJ;_;Case=Nom|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#625.186#625.481
106;образование;образование;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#625.481#625.776
107;какое-то;какой-то;DET;_;Case=Nom|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#625.776#626.074
108;ммм;ммм;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#629.13#629.586
109;для;для;ADP;_;_;_;_;_;@d1990m-words#@d1990m#632.563#632.747
110;меня;я;PRON;_;Case=Gen|Number=Sing|Person=1;_;_;_;@d1990m-words#@d1990m#632.747#632.931
111;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#632.931#633.115
112;было;быть;AUX;_;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@d1990m-words#@d1990m#633.115#633.299
113;открытие;открытие;NOUN;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#633.299#633.483
114;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#633.483#633.667
115;на;на;ADP;_;_;_;_;_;@d1990m-words#@d1990m#633.667#633.851
116;самом;самый;DET;_;Case=Loc|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#633.851#634.035
117;деле;дело;NOUN;_;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#634.035#634.222
118;угу;угу;INTJ;_;_;_;_;_;@d1990m-words#@d1990m#658.074#658.336
119;еще;еще;ADV;_;_;_;_;_;@d1990m-words#@d1990m#704.497#704.765
120;один;один;NUM;_;Case=Nom|Gender=Masc;_;_;_;@d1990m-words#@d1990m#704.765#705.033
121;вопрос;вопрос;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#705.033#705.301
122;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#705.301#705.569
123;тоже;тоже;PART;_;_;_;_;_;@d1990m-words#@d1990m#705.569#705.837
124;про;про;ADP;_;_;_;_;_;@d1990m-words#@d1990m#705.837#706.105
125;альбом;альбом;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@d1990m-words#@d1990m#706.105#706.373
126;/;/;PUNCT;_;_;_;_;_;@d1990m-words#@d1990m#706.373#706.641
127;про;про;ADP;_;_;_;_;_;@d1990m-words#@d1990m#706.641#706.909
128;последний;последний;ADJ;_;Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@d1990m-words#@d1990m#706.909#707.177
